Argoverse.yaml: 适用于自动驾驶场景的数据集，包含车辆轨迹和感知信息。
DOTAv2.yaml: 适用于目标检测和识别的遥感图像数据集，包含目标边界框信息。
GlobalWheat2020.yaml: 适用于小麦耕作区域的图像数据集，用于小麦头部检测任务。
ImageNet.yaml: 用于图像分类任务的大规模图像数据集，包含各种类别的图像样本。
Objects365.yaml: 适用于目标检测和图像分割的数据集，包含多个类别的目标。
SKU-110K.yaml: 适用于商品检测和识别的数据集，包含各种商品的图像样本。
VOC.yaml: 适用于目标检测和图像分割的数据集，包含多个类别的目标。
VisDrone.yaml: 适用于无人机图像分析的数据集，包含多个场景和目标类别。
coco-pose.yaml: 适用于人体姿态估计的数据集，包含人体关键点的标注信息。
coco.yaml: 适用于目标检测和图像分割的数据集，包含多个类别的目标。
coco128-seg.yaml: 适用于图像分割任务的较小规模的COCO数据集。
coco128.yaml: 适用于目标检测和图像分割的较小规模的COCO数据集。
coco8-pose.yaml: 适用于人体姿态估计的较小规模的COCO数据集。
coco8-seg.yaml: 适用于图像分割任务的较小规模的COCO数据集。
coco8.yaml: 适用于目标检测和图像分割的较小规模的COCO数据集。
open-images-v7.yaml: 适用于目标检测和分类的大规模图像数据集，包含多个类别的目标。
tiger-pose.yaml: 适用于动物姿态估计的数据集，包含动物关键点的标注信息。
